13-skala	«13»skalo
indgribende foranstaltninger	indgribende foranstaltning
indgroet snavs	indgroet koto
indhandling	enenfarado
indhandlingspriser	«indhandling»lauxdas
indhegner det	cxirkauxbaras gxi
indhegning/gård/gårdsplads ( - e	enen«hegning»/bieno/bienloko ( - e
indhold	enhavo
indholdsfortegnelse/register	indekso/registro
indianer	indiano
indicium	indico
Indigenous Survival International	Indigenous Survival International
indikationer	indik-(aci)oj
indirekte	nerekte
indirekte skat	malrekta imposto
indirekte skatter	nerekte sxatas
individualitet	individueco
individuation	individuation
individuationsprocess	individuationsprocess
individuel eksamen	individua ekzameno
individuel karakter	individua ecaro
individuelle hjælpemidler	individua helpiloj
individuelle kontrakter	individua kontraktoj
individuelt klientarbejde	individua klientlaboro
indkaldelse/stævning	enen«kaldelse»/asigno
indkalder til møde	alvokas al renkontigxo
indkodning	enen«kodning»
indkomst	enspezo
indkomster	enspezoj
indkomsterklæring	enspezdeklaro
indkomstfordeling	enspezdistribuo
indkomstforhold	enspezcirkonstanco
indkomst/indtægt	enspezo/enspezo
Indkomstoverførsler	Indkomstoverførsler
indkomstpolitik	enspezpolitiko
indkomstregulering	enspez«regulering»
indkomstskat	enspeztrezoro
indkomstskattetryk	enspez«skattetryk»
indkomstår	enspezjaro
indkvarteringsboliger	«indkvartering»logxejoj
indkvarteringslejr	«indkvartering»tendaro
indkøbsaftale	enen«købsaftale»
indkøring	enen«køring»
indlandsbo/dorsetmand	«indland»postlasajxo/«Dorset»viro
indlandsboer/dorsetfolket	«indland»buro/la «Dorset»popolo
indlandsis	«indland»«is»
indleder det/grundlægger det/tager initiativet til det	enkondukas gxi/fondinto gxi/prenas la iniciato al gxi
indleder/grundlægger/initiativtager	enkondukas/fondas/iniciat«tager»
indledning	enkonduko
indlevelse, se empati	indlevelse, vidi empato
indlogerer sig	enenlulogxas sin
indlogeringssted/logi	«indlogering»loko/-logio
indlæggelse	enen«læggelse»
indlægger ham på hospitalet/sygehuset	enmetas lin sur la hospitalo/la hospitalo
indlæring	enen«læring»
indlæringsvanskelighed	«indlæring»malfacilajxo
indløb/indsejling	indløb/enen«sejling»
indløsende bank	enensolvanta(j) banko
indløsning	enensolvo
indløsningskurs	«indløsning»kurso
indlån	enenprunto
indlån på anfordring	enenprunto sur postulo
indlån på opsigelser	enenprunto sur denoncoj
ind mod land	enen kontraux lando
ind mod land/ind i landet	enen kontraux lando/en la lando
ind og udsættelsesforretning	enen kaj prokrastkomerco
indoktrinering	indoktrinering
indordne sig	enordigi sin
indpakning	enen«pakning»
indpakningsmateriale/noget man kan have ting i	«indpakning»materialo/io oni povas havi ajxo en
indpakningspapir	pakpapero
indplacering	enen«placering»
indre	interne
indre mundhule	interna busxkavo
indretning	mebligo
indre værdi	interna valor(ajx)o
indre øjenkrog	interna okulangulo
indsamling	monkolekto
indsats	investo
indser noget/forstår noget/er forstående	komprenas io/komprenas io/estas komprenanta(j)
indsigelse,	ekscepcio,
indsigelse	ekscepcio
indsigt	kompreno
indsigtszone	komprenzono
indskoling	enen«skoling»
indskrivning	enen«skrivning»
indskrænkning	restrikto
indskud	deponajxo
indskud/pengebevilling	deponajxo/monkoncesio
indskudskapital	deponajxkapitalo
indskydergarantifond	«indskyder»«garantifond»
indsnuser det	enennazumas gxi
indsnævring	cerviko
indsprøjtning	injekcio
indsprøjtnings indhold	de injekcio enhavo
indstallationer, tekniske	arangxajxoj, teknika
indstille	reguligi
indstilling	starpunkto
indstævnte	indstævnt
indsynkning	enen«synkning»
indsyr det i ligskind	enenkudras gxi en kadavrhauxto
indsætte	enoficigi
indsætter ham i embedet	enoficigas lin en la ofico
indtagelse gennem munden	indtagelse tra la busxo
indtag	enenpreno
indtastning	enen«tastning»
indtræde	eniri
indtræffer	ekcxeas
indtægt	enspezo
indtægt og udgifposter	enspezo kaj udgifposter
indtægtsbestemt	«indtægts»certe
indtægtsdækket virksomhed	indtægtsdækket entrepreno
indtægtsforhold	enspezcirkonstanco
indtægtsnydelse	enspezdelico
indtægtstab	«indtægts»perdo
induktiv	induktiv
industriby/industrikvarter	industriurbo/industri«kvarter»
industriel	industria
industriel udnyttelse	industria udnyttelse
industri	industrio
industrivarer/fabriksvarer	industrivaroj/«svarer»
indvandrere	enmigrintoj
indvendig undersøgelse	interna ekzameno
indvielseshøjtidelighed/åbningshøjtidelighed	inauxgurceremonio/«åbnings»ceremonio
indvielse/åbning	inauxguro/aperturo
indvier det/åbner det	inauxguras gxi/malfermas gxin
indvilger i det/finder sig i det/siger ja og amen til det hele/g	konsentas en gxin/trovas sin en gxin/diras jes kaj amen al la tuta/g
indvinding	enenvolvajxo
indvindingsvirksomhed	«indvinding»entrepreno
indvolde	intestoj
indvolde/tarme	intestoj/intestoj
indvoldsfedt	perfortgraso
indvoldsorm	helminto
indvoldsrøveren	la perfortrabisto
indynder sig hos ham/beder ham om at hjælpe sig	enensxatas sin cxe lin/petas lin je * helpi sin
indånde	enspiri
indånde noget	enspiri io
Inerisaavik	Inerisaavik
infanteri	infanterio
infantil	infaneca
infarkt	infarkto
infektion	infekto
infektionspatologi	infektpatologio
infektionssygdom	infektmalsano
inficeret	infektita
inflation	inflacio
inflationsraten	la inflacipartpago
inflation/- stakt	inflacio/- stakt
influenza	gripo
information	informo
informationsbrochure	informbrosxuro
informationsteknologi	informteknologio
informationstjeneste/information	informservo/informo
infraktion/brudlinie i tand	infrakcio/brudlinie en dento
infrastruktur	infrastrukturo
infusion	infuzo
ingen adgang for uvedkommende	neniu aliro por nerajtigite
ingeniør	ingxeniero
inhabil	inlerta
inhabilitet	in«habilitet»
inhalerer det/sniffer det	inhalas gxi/enflaras gxi
i ni dele	en no disigi
INI	INI
initiativ	iniciato
initiativrig/aktiv/vågen	iniciatricxa/aktiva/maldorma
inkonsekvens	insekvo
inkopationstid	inkopationstid
inkorporere	inkorporere
innovation	innovation
insekt	insekto
insektædere	insekt«æder»
insemination	insemination
inseminering	inseminering
insolvens	nepagivo
insolvent	nepagive
inspektion	inspektado
inspektionsskib	inspektadsxipo
inspektørbakken	la inspektistpelvo
inspektøren for sygeplejerskeuddannelsen	la inspektisto por la flegistineduko
inspektøren/landsfogeden/landshøvdingen ( i grønland i tidligere t	la inspektisto/la «lands»vokto/la prefekto ( en Grenlando en pli frua t
inspektør	inspektisto
inspiration	inspiro
installationer	arangxajxoj
instans	instanco
instinkt	instinkto
institutbestyrelse	institutestraro
institutbestyrer	institutadministranto
Institut for Kultur og samfund	Institut for Kultur kaj Samfund
Institut for Teologi	Institut for Teologi
institut &	instituto &
institutionalisering	institutionalisering
institution &	institucio &
institution	institucio
institutionsforhold	institucicirkonstanco
institutionskontoret	la institucioficejo
institutionsuddannelser	instituciedukoj
institutleder	institutgvidanto
instruks	instruks
instrumenter	instrumentoj
insulin	insulino
insulinkrævende diabetes	insulin«krævende» diabeto
integration	integrigxo
integrere	integrali
integreret daginstitution	integreret taginstitucio
integreret eksamen	integreret ekzameno
integrering/integrere	integrering/integrali
integritet	integritet
intellektuel	intellektuel
intelligens	inteligenteco
intelligenskvotient	intelekta kvociento
intelligensretarderet	inteligentec«retarderet»
intensitet	intenseco
intensivering	intensado
intentionel	«intention»a
intention	intention
interaktion	interagado
interdentalbørste	interdentalbørste
interessant	interese
interesse	intereso
interesse/interesseområde/noget der har interesse	intereso/interesregiono/io kiu(j) havas intereso
interessent	interesigxanto
interessentskab	interesigxanteco
interesseområde	interesregiono
interesserer sig for det/er interesseret i det	interesas sin por gxin/estas interesseret en gxin
interesser, gensidige	interesoj, interhelpa
interesser, særlige	interesoj, speciala
interimsbeviser	interimsbevis
interimsbevis	interimsbevis
internalisering	internalisering
International Arctic Science Committee	International Arctic Science Committee
International Council for the exploration of the Sea	International Council por teo Exploration of the Sea
International Court of Justice	International Court of Justice
Internationale Domstol i haag	Internationale Domstol en Haag
international	internacia
internationalisering	internaciigado
International Labour Organisation	International Labour Organisation
international likviditet	internacia likvideco
International Monetary Fund	International Monetary Fund
international rente	internacia interezo
International Standard Industrial Classification of all econo	International Standard Industrial Classification of all Econo
International Standard Industrial Classification of all economic Ac	International Standard Industrial Classification of all Economic Ac
internationalt enhedssystem	internacia unuecism
Internationalt Kontor	Internationalt Kontor
International Trade Classification	International Trade Classification
internationalt samarbejde	internacia kunlaboro
International Whaling Commission	International Whaling Commission
International Work Group for indigenous Affairs	International Work Group por Indigenous Affairs
intern	interna
intern medicin	interna medicino
interpolation	interpolado
interpretation, se fortolkning	interpreto, vidi ekzegezo
intervention	interven-ado
interventionsrammer	«intervention»enkadrigas
interview	intervjuo
interviewundersøgelse	intervjuekzameno
intimitet	intimeco
intolerant	maltolereme
intravenøs	intravejna
intravenøsstofmisbrug	intravejn«stofmisbrug»
intrevenøs	trvejna
introduktion	enkonduko
introduktion/indledning/forspil	enkonduko/enkonduko/antauxludo
introduktionsfase	enkondukfazo
introvert, se indadvendt	introverte, vidi kontemple
intrusiver	intrusiver
intraaktion	intraaktion
intuition	intuicio
inuili	inuili
Inuit Circumpolar Conference	Inuit Circumpolar Conference
inuitter/eskimoer	inuitoj/eskimoj
INUTEK - grønlands Teknologiske Selskab	Inutek - grønlands Teknologiske Selskab
invalid/en handicappet	invalido/* handikapita
invalidepension	invalidpensi(on)o
invalideret/invalid	invalideret/invalida
invalid	invalido
invarians	invarianco
invasion	invado
inventar	inventaro
investering	investering
investeringskonto	«investering»konto
investeringslån	«investering»«slån»
investeringsplan	«investering»plano
investor	investisto
inviterer ham/indbyder ham	invitas lin/invitas lin
inviterer ham til at komme på besøg ( fra en anden by eller et andet	invitas lin al * veni sur vizito ( de * alia urbo aü * alia
inviterer til fest	invitas al festo
involverede parter	envolvita partoj
i nær fremtid/om kort tid	en proksima estonto/je mallonga tempo
i nærheden af ham/det/i omegnen/i distriktet/ved ...	en la proksimeco de lin/gxin/en la regiono/en la distrikto/cxe ...
i onsdags	lastan merkredon
i otte dele	en ok disigi
i overmorgen	postmorgaü
i retning af ham/det	en direkto de lin/gxin
irettesættelse	irettesættelse
irettesætter ham	irettesætte lin
irkens havn	irkens haveno
ironi	ironio
irrationel	irrationel
irritation	incito
isanretning/dessertis	glaci«anretning»/desertglacio
isbjørn	blankurso
isbjørnehi	blankursvintrodormo
isbjørnepar/en isbjørnemor med en stor unge	blankursparo/* glaci«bjørnemor» kun * granda ido
isbrydning	glacilukto
is/bræ/gletscher	glacio/glaciejo/glaciejo
isdække	glacikovrajxo
i seks dele	en seks disigi
i selv/jer selv	en mem/vin mem
isen er brudt op	la glacio estas rompis supren
isenkram	ferajxaro
isenkramforretning	ferajxarkomerco
isen på elven svulmer op	la glacio sur la falrivereto sxvelas supren
i/s	en/S
isfjeld	glacimontaro
isfjeldsbanken	la «isfjeld»banko
isflade	glacifaco
isflage	bankizo
isfod	glacipiedo
is	glacio
ishakke/tuk	glacihakilo/tuk
ishav	glacimaro
ishavsskibe	«ishav»«skibe»
ishockey	glacihokeo
ISIC .	Isic .
ISI .	Isi .
i sine bedste år	en siaj plej bona jaro
ising	ising
is/ispind/isvaffel	glacio/glacilignobastoneto/glacivaflo
iskant	glaciegxo
iskappe	glacimantelo
iskoncentration	glacititro
iskorn	glacigreno
islandsdalen	islandsdalen
islandsk hvidand	islanda blankanaso
islandsk ryle	islanda karadrio
islom	glacikolimbo
islægget spærrer vejen for ham/det	la glacifaldo baras la vojo por lin/gxin
isme	-ismo
ismåge	glacimevo
isnål	glacipinglo
isobar	izobaro
isolation af personer der kommer fra smittede egne	isolation de personoj kiu(j) venas de kontagxita tauxgi
isolation	isolation
isolationsmateriale/fyld	«isolation»materialo/fyld
isolationsmateriale	«isolation»materialo
isoleringsmateriale	izolajxmaterialo
isotermi	isotermi
israelere	israelanoj
israeler	israelano
israeliter	israeliter
israelitterne	la israelidoj
israndlinier	«isrand»linioj
isrekognosering	isrekognosering
isseben	parietalo
isse	verto
isskader	glacidamagxas
isskjold	glacisxildo
isskorpe	glacikrusto
isskosse	glaci«skosse»
isskraber	glaci«skraber»
isskruninger	glaci«skruning»
isstrøm	glacitorento
isstykker	glacipecoj
isstykker på stranden	glacipecoj sur la strando
istandsættelse	rebonigo
istap	glacipendajxo
i stedet for/på vegne af/på hans vegne	anstataux/sur koncernoj de/sur lia(j) koncernoj
isterning/et stykke is til at køle med	glaci(lud)kubo/* peco glacio al * malvarmigi kun
istid, den lille	glacitempo, la malgranda
istid	glacitempo
isvold	glaciperforto
isvåge/et mindre område med åbent vand	isvåge/* pli malgranda regiono kun malferm(it)a akvo
isvåge	isvåge
i syv dele	en syv disigi
især/i særdeleshed/i særlig grad/specielt	cxefe/speciale/en speciala grado/speciala
især/særlig	cxefe/speciale
i søndags	lastan dimancxon
isøse	glaciistino
ITA	Ita
i ti dele	en dek disigi
i tidligere tider	en pli frua tempoj
i tirsdags	lastan mardon
IT	IT
i to dele	en to disigi
i tolv dele	en dekdu disigi
i torsdags	lastan jxaüdon
i tre dele	en tre disigi
Ittoqqortoormiit   scoresbysund	Ittoqqortoormiit   Scoresbysund
i venen	en la vejno
i ventetiden	en la atendotempo
i vindsiden af .../til luvart for ...	en la ventflanko de .../til ventflankspeco por ...
i vinter	en vintro
Ivittuut	Ivittuut
iværksættelse	iværksættelse
iværksætter det/skaber det	iværksætter gxi/afektadas gxin
IWC .	IWC .
IWGIA	Iwgia
i øjeæblet	en la okulglobo
i året ...	en la jaro ...
ja det kan du tro/ja det er rigtigt	jes gxin povas vi kredi/jes gxi estas gxusta
ja det kan du tro/ja i høj grad	jes gxin povas vi kredi/jes altagrade
jager dem ud til alle sider	cxasas ilin eksteren al cxiuj flankoj
jager en bjørn	cxasas * urso
jager ham/det bort	cxasas lin/gxin tien
jagtbetjent	cxasad«betjent»
jagt	cxasado
jagter en sæl	jagte * foko
jagtfalken/grønlandsfalken	la girfalko/la «grønlands»falko
jagt og våbenlære	cxasado kaj armilinstruo
jaguar	jaguaro
ja i høj grad/det kan du tro	jes altagrade/gxin povas vi kredi
ja	jes
jakke/frakke	jako/jako
jakke	jako
jakken med skøder til kjole og hvidt/skødefrakke	la jako kun skøde al robo kaj blanka/sinjako
jakobsholm	jakobsholm
jalousi	jxaluzo
jalousi/skinsyge	jxaluzo/jxaluzo
jamrer/gruer for fremtiden/spår ulykke	lamentas/grue por la estonto/auxguras akcidento
jamrer	lamentas
jamrer sig/giver sig	lamentas sin/okupas sin
ja/nemlig	jes/nome
januar	januaro
jazzfan/jazzenthusiast	jxazadmiranto/jazzenthusiast
jazz	jxazo
jeg fik mig en god latter over ham/det/han fik mig til at skrupgri	mi ricevis min * bona rido super lin/gxin/li ricevis min al ke skrupgri
jeg-funktion	mfunkcio
jeg har ikke en rød øre/jeg har ikke en klink	mi havas ne * rugxa oero/mi havas ne onin klinkero
jeg kan ikke holde mig mere	mi povas ne teni min pli
jeg kan jo altid prøve ( selv om jeg måske ville gøre en ynkelig fig	mi povas je cxiam provi ( kvankam mi eble voli fari * veaspekta fig.
jeg	mi
jeg/mig/min	mi/min/mia
jeg skal love for at .../det kan nok være at ...	mi devas promesi por ke .../det povas supozeble esti ke ...
jeg tillader mig at ...	mi permesas min ke ...
jeg troede ellers at ...	mi kredita alikaze ke ...
jeg vil komme til at savne jer meget	mi volas veni al * sopiri vin tre
jeg vil også have !/giv mig noget !	mi volas ankaux havi !/giv min io !
jernbeslag	fer«beslag»
jern	fero
jernmalm	ferminajxo
jernmalmforekomst	fer«malmforekomst»
jern/metal	fero/metalo
jernmeteorit	fermeteorito
jern og metalskolen	fero kaj la metallernejo
Jern- og Metalskolen	Jern- og Metalskolen
Jesus	Jesuo
jfr.	komparu
job og vejledningscenter	laboro kaj «vejledning»centro
jo, det er rigtigt	jesja, gxi estas gxusta
jod	jodo
jogurt/yoghurt	jogurto/jogurto
johannes Ã ... benbaringer	de Johano Ã ... benbaringer
joint-venture	joint-venture
jollefisker	barketfisxkaptisto
jollefiskerforeningen i nuuk	jollefiskerforeningen en Nuuk
jolle/slæbejolle	barketo/trenbarketo
jomfruhinden ?	la himeno ?
jordbær	frago
jord eller sne der er skovlet op i en dynge	terglobo aü negxo kiu(j) estas sxovelita supren en * stako
jordemoder	akusxistino
jordemoder/fødselshjælperske	akusxistino/«fødselshjælper»a
jordemoderuddannelse	akusxistineduko
jorden/kloden	la terglobo/la (ter)globo
jordens flydende kerne	de la terglobo flua kerno
jordens vandressourcer	de la terglobo akv«ressource»
jorderosion	«jord»erozio
jordfast	«jord»firme
jordgammen	«jord»«gammen»
jordlag, forefundne	tertavolo, antaux«funden»
jordlag	tertavolo
jordomsejling/en rejse jorden rundt	jordomsejling/* vojagxo Jorden ronde
jordrystelse/jordskælv	«jord»skuado/tertremo
jordskælvsbølger	tertremfluktuas
journalisering	journalisering
journalist	gazetisto
journal	tagalo
jubilæum/fest/festlighed	jubilæum/festo/solenajxo
jubilæumsgratiale	«jubilæum»«gratiale»
jubler	jubilas
juleaften	kristnaskvespero
juleaftensdag	«juleaften»tago
julegave	kristnaskdonaco
julehjerte	kristnaskkoro
julekalender	kristnaskkalendaro
julekoncert	kristnaskkoncerto
julelys	kristnaskhela
julemanden	la kristnaskviro
julemand	kristnaskviro
julemærke	kristnaskekrimarko
julesalme/julesang	kristnaskhimno/kristnaskkanto
julesalme	kristnaskhimno
julestads/juletræspynt	kristnaskpompo/«juletræ»ornamajxo
julestemning	kristnasketoso
julestjerne/en stjerne til at hænge i vinduet	kristnaskstelo/* stelo al * pend(ig)i en la fenestro
julestjernen	la kristnaskstelo
juletræ	kristnaskuj
juletræspynt	«juletræ»ornamajxo
juli	julio
jul	kristnasko
juni	junio
jura	juro
juridisk ansvar	jura respondeco
juridisk	jure
juridisk person	jura persono
jurisdiktion	jurisdikcio
jurist	juristo
justere	almezuri
justerer vægten/afbalancerer vægten )	almezuras la pez(ajx)o/elekvilibras la pez(ajx)o )
justering	gxustigo
justering/regulering	gxustigo/regul-ado
justerreglement	«juster»regularo
Justitsministeriet	Justitsministeriet
justitsministerium	justicministerio
justitsminister	justicministro
jæger	cxasisto
